Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Completion Date,Start Date,Trial Duration,Primary Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
539,NCT04555005,Mindfulness-based Crisis Intervention for COVID-19 Frontline Healthcare Workers During COVID-19,,Completed,No Results Available,Mindfulness|COVID-19|Healthcare Worker,Other: Mindfulness based intervention,Perceived helpfulness to reduce current stress,Instituto de InvestigaciÃ³n Hospital Universitario La Paz|Hospital Universitario La Paz,All,"Child, Adult, Older Adult",Not Applicable,1000,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care,Mind-COVID-19,26-Apr-20,10-Mar-20,47,26-Apr-20,18-Sep-20,,18-Sep-20,"La Paz University Hospital, Madrid, Spain",,https://ClinicalTrials.gov/show/NCT04555005
540,NCT04512300,Parental Attitude Toward Children Dental Treatment During COVID-19 Pandemic,,Completed,No Results Available,Dental Treatment During Covid -19,,Assessment of parental attitude toward children dental visit during Coronavirus crisis,Cairo University,All,"Child, Adult, Older Adult",,267,Other,Observational,Observational Model: Other|Time Perspective: Cross-Sectional,Covid -19 and dental visit,25-Jun-20,15-Jun-20,10,25-Jun-20,13-Aug-20,,12-May-21,"faculty of dentistry, Cairo university , Egypt, Cairo, Egypt",,https://ClinicalTrials.gov/show/NCT04512300
541,NCT04485169,Therapeutic Plasma Exchange for Coronavirus Disease-2019 Triggered Cytokine Release Storm;,Plex,Completed,No Results Available,COVID-19|Cytokine Release Syndrome,Procedure: Therapeutic Plasma Exchange,Survival|Duration of Hospitalization|Timing of PCR negativity|Time to CRS resolution|Complications,UNICEF|Pak Emirates Military Hospital Rawalpindi,All,"18 Years to 80 Years Â  (Adult, Older Adult)",Not Applicable,280,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Sultan Mehmood Kamran,31-Jul-20,1-Apr-20,121,31-Jul-20,24-Jul-20,,28-Sep-20,"Pak Emirates Military Hospital, Rawalpindi, Punjab, Pakistan",,https://ClinicalTrials.gov/show/NCT04485169
542,NCT04869072,Convalescent Plasma Therapy - Zurich Protocol,CPT-ZHP,Completed,No Results Available,COVID-19,Drug: Convalescent plasma,"Safety of CPT applied to COVID-19 patients|Improvement of respiratory frequency|Improvement of O2-saturation|Improvement of Inflammatory markers (C Reactive Protein, CRP)|Improvement of Inflammatory markers (Ferritin)|Improvement of Inflammatory markers (IL-6)|Improvement of coagulation-markers (D-dimer)|Improvement of coagulation-markers (Fibrinogen)|Improvement of coagulation-markers (LDH)|Prevention of ICU-admission|Characterisation of virus reaction to plasma Therapy|Characterisation of the dynamic of humoral response after therapy|Better characterize the the in-vivo anti-virus humoral response against SARS-CoV-2.",University of Zurich,All,"Child, Adult, Older Adult",Phase 1,30,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2020-00787,30-Mar-21,29-Apr-20,335,30-Nov-20,3-May-21,,3-May-21,"University Hospital Zurich, ZÃ¼rich, Switzerland",,https://ClinicalTrials.gov/show/NCT04869072
543,NCT04645407,Effects of Fuzheng Huayu Tablets on COVID-19,,Completed,No Results Available,Novel Coronavirus Pneumonia,Drug: Fuzheng Huayu tablet,the percentage of patients showing improvement in chest CT|remission rate or progression rate of critical illness|clinical remission rate of respiratory symptoms|routine blood examination|C-reactive protein level|procalcitonin level|oxygen saturation,ShuGuang Hospital|Hubei Hospital of Traditional Chinese Medicine|Jingmen No.1 People's Hospital,All,"18 Years to 65 Years Â  (Adult, Older Adult)",Phase 4,66,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Fzhy-ncp-1,15-Apr-20,1-Feb-20,74,15-Apr-20,27-Nov-20,,27-Nov-20,"Shuguang Hospital, Shanghai, Shanghai, China",,https://ClinicalTrials.gov/show/NCT04645407
544,NCT04352959,COVID-19: Nasal and Salivary Detection of the SARS-CoV-2 Virus After Antiviral Mouthrinses,BBCovid,Completed,No Results Available,COVID19|Mouthwash|Saliva,Device: mouthrinse with bÃªta-cyclodextrin and citrox|Device: mouthrinse without bÃªta-cyclodextrin and citrox,Change from Baseline amount of SARS-CoV-2 in salivary samples at 7 days|Change from Baseline amount of SARS-CoV-2 virus in nasal samples at 7 days,Claude Bernard University|Hospices Civils de Lyon,All,"18 Years to 85 Years Â  (Adult, Older Adult)",Not Applicable,176,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention",BBCovid,11-Dec-20,27-Apr-20,228,11-Dec-20,20-Apr-20,,11-Feb-21,"Clinic of the Protestant Infirmary in Lyon, Caluire-et-Cuire, France|Hospital Center Emile Roux, Le Puy en Velay, France|Hospital Center Saint Luc Saint Joseph, Lyon, France|Intercommunal Hospital Center of Mont de Marsan, Mont de Marsan, France",,https://ClinicalTrials.gov/show/NCT04352959
545,NCT04405570,"A Safety, Tolerability and Efficacy of Molnupiravir (EIDD-2801) to Eliminate Infectious Virus Detection in Persons With COVID-19",,Completed,No Results Available,SARS-CoV 2,Drug: EIDD-2801|Drug: Placebo (PBO),"Virologic Efficacy|Number of Participants with any Adverse Events (AEs) as Assessed by Kaplan Meier Approach|Number of Participants With any Adverse Events (AEs), Grade 2 or higher as Assessed by Kaplan Meier Approach","Ridgeback Biotherapeutics, LP",All,"18 Years and older Â  (Adult, Older Adult)",Phase 2,204,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",EIDD-2801-2003,21-Feb-21,16-Jun-20,250,21-Feb-21,28-May-20,,23-Feb-21,"Benchmark Research, Colton, California, United States|Valley Clinical Trials, Inc., Northridge, California, United States|FOMAT Medical Research, Oxnard, California, United States|Indago Research and Health Center, Inc., Hialeah, Florida, United States|NOLA Research, New Orleans, Louisiana, United States|University of North Carolina School of Medicine, Chapel Hill, North Carolina, United States|Duke, Durham, North Carolina, United States|Wake Forest Baptist Health, Winston-Salem, North Carolina, United States|Care United Research, LLC, Forney, Texas, United States|Laguna Clinical Research, Laredo, Texas, United States|Fred Hutch, Seattle, Washington, United States",,https://ClinicalTrials.gov/show/NCT04405570
546,NCT04336384,Impact of Covid-19 in Congenital Heart Disease,COVID-CHD,Completed,No Results Available,Congenital Heart Disease|Covid-19,,Prevalence of Covid-19 infection in the overall CHD population|Prevalence of Covid-19 infection per CHD sub-group|Cardiovascular complications|Other complications|Number of deaths,"University Hospital, Montpellier|Pr. Jean-BenoÃ®t THAMBO, Bordeaux (prÃ©sident)|Dr. CÃ©line GRUNENWALD GRONIER, Strasbourg|Dr. SÃ©bastien HASCOET, Le Plessis-Robinson|Dr. Adeline BASQUIN, Rennes|Dr. Nicolas COMBES, Toulouse|Dr. Xavier IRIART, Bordeaux|Dr. Daniela LAUX, Paris|Dr. Magalie LADOUCEUR, Paris|Pr. BERTRAND LEOBON, Toulouse|Pr. Caroline OVAERT, Marseille|Dr. Karine WARIN-FRESSE, Nantes|Alexis BLANC, Montpellier|Pr. Roland HENAINE, Lyon|Hamouda ABASSI, Montpellier",All,"Child, Adult, Older Adult",,5000,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,RECHMPL20_0155,30-Dec-20,1-Mar-20,304,1-Dec-20,7-Apr-20,,2-Feb-21,"Uh Montpellier, Montpellier, France",,https://ClinicalTrials.gov/show/NCT04336384
547,NCT04832945,SARS-CoV-2 Pre-exposure Prophylaxis With Ivermectin Retrospective Cohort Study,,Completed,No Results Available,Covid19,Drug: Ivermectin 6 Mg Oral Tablet,Number of participants RT-PCR positive for Covid-19|Number of sick participants who condition deteriorated|Number of sick participants who died,Grupo Rescue S.A.S RepÃºblica Dominicana,All,"18 Years and older Â  (Adult, Older Adult)",,713,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,8953,10-Apr-21,29-Jun-20,285,20-Sep-20,6-Apr-21,,13-Apr-21,"Centro Medico Bournigal, Puerto Plata, Dominican Republic|Centro MÃ©dico Punta Cana, Punta Cana, Dominican Republic",,https://ClinicalTrials.gov/show/NCT04832945
548,NCT04713111,Stress and Recovery in Frontline COVID-19 Workers,,Completed,No Results Available,Covid19|Stress|Wearables,Behavioral: Lifestyle (Meditation)|Behavioral: Lifestyle (Exercise),Study Retention|Daily survey/task adherence|Oura adherence|Garmin adherence,4YouandMe|Center for International Emergency Medical Services|Evidation Health|Vector Institute for Artificial Intelligence|Cambridge Cognition Ltd|Bill and Melinda Gates Foundation,All,"18 Years and older Â  (Adult, Older Adult)",Not Applicable,383,Other|Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Screening,4UCOVID1901,30-Nov-20,4-May-20,210,30-Nov-20,19-Jan-21,,12-Mar-21,"4YouandMe, Seattle, Washington, United States",,https://ClinicalTrials.gov/show/NCT04713111
549,NCT04479644,"Safety, Tolerability, and Pharmacokinetics Study of Human Monoclonal Antibody BRII-198",,Completed,No Results Available,COVID-19,Drug: BRII-198|Drug: Placebo,Incidence of adverse events (AEs) by CTCAE v5.0|Proportion of subjects with SAEs|Proportion of subjects with infusion-related reactions|Proportion of subjects with hypersensitivity reactions|Serum Concentration of BRII-198,Brii Biosciences Limited|TSB Therapeutics (Beijing) CO.LTD,All,18 Years to 49 Years Â  (Adult),Phase 1,17,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,BRII-198-001,3-Feb-21,13-Jul-20,205,3-Feb-21,21-Jul-20,,12-Apr-21,"Investigative Site, Beijing, Beijing, China",,https://ClinicalTrials.gov/show/NCT04479644
550,NCT04479631,"Safety, Tolerability, and Pharmacokinetics Study of Human Monoclonal Antibody BRII-196",,Completed,No Results Available,COVID-19,Drug: BRII-196|Drug: Placebo,Incidence of adverse events (AEs) by CTCAE v5.0|Proportion of subjects with SAEs|Proportion of subjects with infusion-related reactions|Proportion of subjects with hypersensitivity reactions|Serum Concentration of BRII-196,Brii Biosciences Limited|TSB Therapeutics (Beijing) CO.LTD,All,18 Years to 49 Years Â  (Adult),Phase 1,16,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,BRII-196-001,29-Jan-21,12-Jul-20,201,29-Jan-21,21-Jul-20,,12-Apr-21,"Investigative Site, Beijing, Beijing, China",,https://ClinicalTrials.gov/show/NCT04479631
551,NCT04443140,Preeclampsia-like Syndrome Induced by COVID-19: Is it a Real Public Health Issue in Pregnancy During the Pandemic?,,Completed,No Results Available,Covid-19|Preeclampsia|Pregnancy Related,"Diagnostic Test: PCR, lung ultrasound",PCR positivity,Zeynep Kamil Maternity and Pediatric Research and Training Hospital,Female,18 Years to 40 Years Â  (Adult),,131,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,70/2020,10-Jul-20,15-Mar-20,117,1-Jul-20,23-Jun-20,,28-Jul-20,"Zeynep Kamil Maternity and Childrens Training and Research Hospital, Istanbul, Turkey",,https://ClinicalTrials.gov/show/NCT04443140
552,NCT04473157,COVID-19 in Patients With Anosmia in Egypt,,Completed,No Results Available,Anosmia|Covid19|Dysgeusia,,Recovery from Anosmia|Seroconversion|COVID 19,Ain Shams University,All,"18 Years and older Â  (Adult, Older Adult)",,58,Other,Observational,Observational Model: Case-Only|Time Perspective: Prospective,FMASU P45a/2020,30-Dec-20,1-Jul-20,182,30-Nov-20,16-Jul-20,,15-Jan-21,"Ain Shams University, Cairo, Egypt",,https://ClinicalTrials.gov/show/NCT04473157
553,NCT04872764,Acute Kidney Injury in Patients With CoVID-19,AKI-COVID-19,Completed,No Results Available,Covid19|Acute Kidney Injury,"Other: duration of hospitalization, mortality rate",mortality rate|duration of hospitalisation,UÅŸak University,All,"18 Years to 80 Years Â  (Adult, Older Adult)",,600,Other,Observational,Observational Model: Case-Control|Time Perspective: Retrospective,UsakU3,20-Dec-20,20-Mar-20,275,20-Nov-20,4-May-21,,4-May-21,"Usak University, Usak, Turkey",,https://ClinicalTrials.gov/show/NCT04872764
554,NCT04690920,Theranostic Implication of Complementary Medicines Against Interleukin Receptors and Gp-130 Proteins,,Completed,No Results Available,Corona Virus Disease 2019 (COVID-19),Drug: Tocilizumab,Ratio of partial pressure of oxygen in arterial blood to fraction of inhaled oxygen|Hospital stay|Oxygen demand|Viral load,University of Lahore,All,"Child, Adult, Older Adult",Not Applicable,200,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care,UOL/IMBB/2020/118,10-Dec-20,23-Jul-20,140,10-Dec-20,31-Dec-20,,31-Dec-20,"The University of Lahore, Lahore, Punjab, Pakistan",,https://ClinicalTrials.gov/show/NCT04690920
555,NCT04771117,Defiances to Face COVID-19 Pandemic in Mexico,,Completed,No Results Available,Health Behavior|Risk-Taking|Covid19,Behavioral: Fear of Covid-19 Scale,Risk Factors|Fear of Covid-19,Instituto Mexicano del Seguro Social,All,"16 Years and older Â  (Child, Adult, Older Adult)",,4004,Other,Observational,Observational Model: Cohort|Time Perspective: Cross-Sectional,Fear5,1-Dec-20,1-May-20,214,1-Aug-20,25-Feb-21,,26-Feb-21,"Instituto Mexicano del Seguro Social, Guadalajara, Jalisco, Mexico",,https://ClinicalTrials.gov/show/NCT04771117
556,NCT04399980,Mavrilimumab to Reduce Progression of Acute Respiratory Failure in COVID-19 Pneumonia and Systemic Hyper-inflammation,,Completed,Has Results,COVID 19|SARS-CoV 2|Pneumonia,Drug: Mavrilimumab|Drug: Placebos,Subjects Alive and Off of Oxygen at Day 14|Number of Subjects Alive and Without Respiratory Failure at Day 28|Mortality at Day 28,"The Cleveland Clinic|Kiniksa Pharmaceuticals, Ltd.",All,"18 Years and older Â  (Adult, Older Adult)",Phase 2,40,Other|Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",IND 149324|IRB 20-523,23-Apr-21,20-May-20,338,23-Apr-21,22-May-20,13-May-21,13-May-21,"Cleveland Clinic Florida, Weston, Florida, United States|Cleveland Clinic Health System, Cleveland, Ohio, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/80/NCT04399980/Prot_SAP_001.pdf",https://ClinicalTrials.gov/show/NCT04399980
557,NCT04789447,"Evaluation of Prognosis of COVID-19 Patients With Only CT Findings, Only RT-PCR Positivity and Both of Them Positive",,Completed,No Results Available,"Covid19|SARS-CoV Infection|Pneumonia, Viral",,mortality|need for intensive care|length stay,"Sultan Abdulhamid Han Training and Research Hospital, Istanbul, Turkey",All,"18 Years and older Â  (Adult, Older Adult)",,909,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,COP-19,6-May-21,4-Mar-21,63,6-May-21,9-Mar-21,,11-May-21,"Sultan AbdÃ¼lhamid Han Training and Research Hospital, Istanbul, Turkey|Sultan AbdÃ¼lhamid Han Training and Research Hospital, Istanbul, Turkey",,https://ClinicalTrials.gov/show/NCT04789447
558,NCT04341766,Evolution of Pulmonary Ultrasound in Patients Hospitalized for Covid (Coronavirus Disease) 19,,Completed,No Results Available,"Pneumonia, Viral|COVID-19",Other: No special intervention,Characteristics of pulmonary ultrasound for Covid-19 patients|Charateristics of pulmonary CT-scan for Covid-19 patients,Centre Hospitalier Intercommunal Creteil,All,"18 Years to 105 Years Â  (Adult, Older Adult)",,106,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,COVID-ECHO,30-Jun-20,31-Mar-20,91,27-May-20,10-Apr-20,,17-Jul-20,"CHU Amiens, Amiens, France|CH de la CÃ´te Basque, Bayonne, France|CHU Ambroise ParÃ©, Boulogne-Billancourt, France|CHU Caen, Caen, France|CHG de Chambery, ChambÃ©ry, France|Centre Hospitalier Intercommunal de CrÃ©teil, CrÃ©teil, France|CHU de Limoges, Limoges, France|APHM - Hopital Nord, Marseille, France|CHU de Nancy, Nancy, France|CHU NÃ®mes, NÃ®mes, France|CHR OrlÃ©ans, OrlÃ©ans, France|CHU Cochin, Paris, France|CHU Poitiers, Poitiers, France|CHU Rouen, Rouen, France|CH Saint-Quentin, Saint-Quentin, France|CHU Larrey - Toulouse, Toulouse, France|CHU de Tours, Tours, France",,https://ClinicalTrials.gov/show/NCT04341766
